"State","Year","Type_code","Type","Gender","Age_group","Total"
"Andhra Pradesh",2012,"Means_adopted","By Fire-Arms","Female","30-44",0
"Andhra Pradesh",2012,"Means_adopted","By Self Infliction of injury","Female","30-44",23
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Other sites)","Female","30-44",1
"Andhra Pradesh",2012,"Means_adopted","By Hanging","Female","30-44",249
"Andhra Pradesh",2012,"Means_adopted","By coming under running vehicles/trains","Female","30-44",33
"Andhra Pradesh",2012,"Means_adopted","By Consuming Other Poison","Female","30-44",356
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Building)","Female","30-44",14
"Andhra Pradesh",2012,"Means_adopted","By Machine","Female","30-44",0
"Andhra Pradesh",2012,"Means_adopted","By Other means (please specify)","Female","30-44",125
"Andhra Pradesh",2012,"Means_adopted","By Fire/Self Immolation","Male","30-44",231
"Andhra Pradesh",2012,"Means_adopted","By Other means (please specify)","Male","30-44",293
"Andhra Pradesh",2012,"Means_adopted","By Self Infliction of injury","Male","30-44",16
"Andhra Pradesh",2012,"Means_adopted","By Drowning","Male","30-44",172
"Andhra Pradesh",2012,"Means_adopted","By touching electric wires","Male","30-44",8
"Andhra Pradesh",2012,"Means_adopted","By Over Alcoholism","Male","30-44",86
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Other sites)","Male","30-44",15
"Andhra Pradesh",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","30-44",0
"Andhra Pradesh",2012,"Means_adopted","By coming under running vehicles/trains","Male","30-44",353
"Andhra Pradesh",2012,"Means_adopted","By Fire-Arms","Male","30-44",8
"Andhra Pradesh",2012,"Means_adopted","By Consuming Insecticides","Male","30-44",953
"Andhra Pradesh",2012,"Means_adopted","By Hanging","Male","30-44",827
"Andhra Pradesh",2012,"Means_adopted","By Machine","Male","30-44",0
"Andhra Pradesh",2012,"Means_adopted","By Overdose of sleeping pills","Male","30-44",17
"Andhra Pradesh",2012,"Means_adopted","By Consuming Other Poison","Male","30-44",631
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Building)","Male","30-44",18
"Andhra Pradesh",2012,"Means_adopted","By Fire-Arms","Female","45-59",0
"Andhra Pradesh",2012,"Means_adopted","By coming under running vehicles/trains","Female","45-59",31
"Andhra Pradesh",2012,"Means_adopted","By Overdose of sleeping pills","Female","45-59",22
"Andhra Pradesh",2012,"Means_adopted","By Over Alcoholism","Female","45-59",1
"Andhra Pradesh",2012,"Means_adopted","By Consuming Insecticides","Female","45-59",165
"Andhra Pradesh",2012,"Means_adopted","By touching electric wires","Female","45-59",0
"Andhra Pradesh",2012,"Means_adopted","By Fire/Self Immolation","Female","45-59",85
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Building)","Female","45-59",1
"Andhra Pradesh",2012,"Means_adopted","By Drowning","Female","45-59",43
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Other sites)","Female","45-59",0
"Andhra Pradesh",2012,"Means_adopted","By Machine","Female","45-59",0
"Andhra Pradesh",2012,"Means_adopted","By Consuming Other Poison","Female","45-59",165
"Andhra Pradesh",2012,"Means_adopted","By Hanging","Female","45-59",124
"Andhra Pradesh",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","45-59",0
"Andhra Pradesh",2012,"Means_adopted","By Other means (please specify)","Female","45-59",88
"Andhra Pradesh",2012,"Means_adopted","By Self Infliction of injury","Female","45-59",5
"Andhra Pradesh",2012,"Means_adopted","By Consuming Other Poison","Male","45-59",292
"Andhra Pradesh",2012,"Means_adopted","By Self Infliction of injury","Male","45-59",11
"Andhra Pradesh",2012,"Means_adopted","By Other means (please specify)","Male","45-59",188
"Andhra Pradesh",2012,"Means_adopted","By coming under running vehicles/trains","Male","45-59",198
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Other sites)","Male","45-59",5
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Building)","Male","45-59",12
"Andhra Pradesh",2012,"Means_adopted","By Overdose of sleeping pills","Male","45-59",23
"Andhra Pradesh",2012,"Means_adopted","By Fire-Arms","Male","45-59",0
"Andhra Pradesh",2012,"Means_adopted","By Over Alcoholism","Male","45-59",23
"Andhra Pradesh",2012,"Means_adopted","By touching electric wires","Male","45-59",9
"Andhra Pradesh",2012,"Means_adopted","By Hanging","Male","45-59",701
"Andhra Pradesh",2012,"Means_adopted","By Consuming Insecticides","Male","45-59",611
"Andhra Pradesh",2012,"Means_adopted","By Machine","Male","45-59",3
"Andhra Pradesh",2012,"Means_adopted","By Drowning","Male","45-59",144
"Andhra Pradesh",2012,"Means_adopted","By Fire/Self Immolation","Male","45-59",118
"Andhra Pradesh",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","45-59",2
"Andhra Pradesh",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","60+",0
"Andhra Pradesh",2012,"Means_adopted","By Over Alcoholism","Female","60+",3
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Building)","Female","60+",1
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Other sites)","Female","60+",1
"Andhra Pradesh",2012,"Means_adopted","By Self Infliction of injury","Female","60+",0
"Andhra Pradesh",2012,"Means_adopted","By Overdose of sleeping pills","Female","60+",4
"Andhra Pradesh",2012,"Means_adopted","By coming under running vehicles/trains","Female","60+",17
"Andhra Pradesh",2012,"Means_adopted","By Consuming Insecticides","Female","60+",68
"Andhra Pradesh",2012,"Means_adopted","By touching electric wires","Female","60+",0
"Andhra Pradesh",2012,"Means_adopted","By Drowning","Female","60+",38
"Andhra Pradesh",2012,"Means_adopted","By Fire/Self Immolation","Female","60+",49
"Andhra Pradesh",2012,"Means_adopted","By Fire-Arms","Female","60+",0
"Andhra Pradesh",2012,"Means_adopted","By Other means (please specify)","Female","60+",47
"Andhra Pradesh",2012,"Means_adopted","By Machine","Female","60+",0
"Andhra Pradesh",2012,"Means_adopted","By Hanging","Female","60+",23
"Andhra Pradesh",2012,"Means_adopted","By Consuming Other Poison","Female","60+",75
"Andhra Pradesh",2012,"Means_adopted","By Consuming Insecticides","Male","60+",192
"Andhra Pradesh",2012,"Means_adopted","By Self Infliction of injury","Male","60+",2
"Andhra Pradesh",2012,"Means_adopted","By Other means (please specify)","Male","60+",82
"Andhra Pradesh",2012,"Means_adopted","By Machine","Male","60+",0
"Andhra Pradesh",2012,"Means_adopted","By Hanging","Male","60+",134
"Andhra Pradesh",2012,"Means_adopted","By coming under running vehicles/trains","Male","60+",107
"Andhra Pradesh",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","60+",0
"Andhra Pradesh",2012,"Means_adopted","By Consuming Other Poison","Male","60+",244
"Andhra Pradesh",2012,"Means_adopted","By Fire/Self Immolation","Male","60+",36
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Building)","Male","60+",3
"Andhra Pradesh",2012,"Means_adopted","By Over Alcoholism","Male","60+",37
"Andhra Pradesh",2012,"Means_adopted","By Overdose of sleeping pills","Male","60+",5
"Andhra Pradesh",2012,"Means_adopted","By Fire-Arms","Male","60+",0
"Andhra Pradesh",2012,"Means_adopted","By touching electric wires","Male","60+",6
"Andhra Pradesh",2012,"Means_adopted","By Drowning","Male","60+",102
"Andhra Pradesh",2012,"Means_adopted","By Jumping from (Other sites)","Male","60+",1
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Female","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Female","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Student","Female","0-14",54
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Female","0-14",7
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","0-14",49
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Female","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Female","0-14",1
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Female","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Female","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Female","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","0-14",31
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Female","0-14",1
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Student","Male","0-14",35
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","0-14",11
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","0-14",19
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Male","0-14",0
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Female","15-29",84
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Female","15-29",946
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Female","15-29",132
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Female","15-29",15
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Female","15-29",9
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","15-29",255
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Female","15-29",0
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Female","15-29",81
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","15-29",285
"Andhra Pradesh",2012,"Professional_Profile","Student","Female","15-29",225
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Female","15-29",7
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Female","15-29",7
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Male","15-29",195
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","15-29",260
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Male","15-29",474
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Male","15-29",411
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Male","15-29",70
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Male","15-29",18
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Male","15-29",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","15-29",601
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Male","15-29",85
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Male","15-29",207
"Andhra Pradesh",2012,"Professional_Profile","Student","Male","15-29",222
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Male","15-29",0
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Female","30-44",67
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Female","30-44",669
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Female","30-44",16
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Female","30-44",19
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","30-44",134
"Andhra Pradesh",2012,"Professional_Profile","Student","Female","30-44",4
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Female","30-44",14
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Female","30-44",207
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Female","30-44",33
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","30-44",265
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Female","30-44",0
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Female","30-44",38
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Male","30-44",42
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Male","30-44",563
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","30-44",976
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Male","30-44",124
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Male","30-44",753
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Male","30-44",300
"Andhra Pradesh",2012,"Professional_Profile","Student","Male","30-44",19
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Male","30-44",0
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Male","30-44",142
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Male","30-44",266
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","30-44",442
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Male","30-44",1
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Female","45-59",1
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Female","45-59",0
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Female","45-59",70
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Female","45-59",11
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Female","45-59",24
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Female","45-59",401
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Female","45-59",2
"Andhra Pradesh",2012,"Professional_Profile","Student","Female","45-59",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","45-59",84
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Female","45-59",6
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","45-59",128
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Female","45-59",3
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Male","45-59",165
"Andhra Pradesh",2012,"Professional_Profile","Student","Male","45-59",0
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Male","45-59",98
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Male","45-59",624
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Male","45-59",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","45-59",289
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Male","45-59",244
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","45-59",651
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Male","45-59",31
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Male","45-59",133
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Male","45-59",60
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Male","45-59",45
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Female","60+",56
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Female","60+",0
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Female","60+",0
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Female","60+",10
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","60+",86
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Female","60+",1
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Female","60+",126
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Female","60+",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Female","60+",43
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Female","60+",2
"Andhra Pradesh",2012,"Professional_Profile","Student","Female","60+",0
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Female","60+",2
"Andhra Pradesh",2012,"Professional_Profile","Service (Government)","Male","60+",3
"Andhra Pradesh",2012,"Professional_Profile","Professional Activity","Male","60+",9
"Andhra Pradesh",2012,"Professional_Profile","House Wife","Male","60+",0
"Andhra Pradesh",2012,"Professional_Profile","Service (Private)","Male","60+",50
"Andhra Pradesh",2012,"Professional_Profile","Unemployed","Male","60+",46
"Andhra Pradesh",2012,"Professional_Profile","Student","Male","60+",0
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","60+",185
"Andhra Pradesh",2012,"Professional_Profile","Retired Person","Male","60+",52
"Andhra Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Male","60+",49
"Andhra Pradesh",2012,"Professional_Profile","Public Sector Undertaking","Male","60+",26
"Andhra Pradesh",2012,"Professional_Profile","Farming/Agriculture Activity","Male","60+",249
"Andhra Pradesh",2012,"Professional_Profile","Others (Please Specify)","Male","60+",282
"Andhra Pradesh",2012,"Social_Status","Married","Female","0-100+",3630
"Andhra Pradesh",2012,"Social_Status","Seperated","Female","0-100+",92
"Andhra Pradesh",2012,"Social_Status","Divorcee","Female","0-100+",94
"Andhra Pradesh",2012,"Social_Status","Never Married","Female","0-100+",685
"Andhra Pradesh",2012,"Social_Status","Widowed/Widower","Female","0-100+",210
"Andhra Pradesh",2012,"Social_Status","Seperated","Male","0-100+",219
"Andhra Pradesh",2012,"Social_Status","Divorcee","Male","0-100+",98
"Andhra Pradesh",2012,"Social_Status","Widowed/Widower","Male","0-100+",261
"Andhra Pradesh",2012,"Social_Status","Never Married","Male","0-100+",1136
"Andhra Pradesh",2012,"Social_Status","Married","Male","0-100+",7813
"Arunachal Pradesh",2012,"Causes","Divorce","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Drug Abuse/Addiction","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Failure in Examination","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Not having Children(Barrenness/Impotency","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Illness (Aids/STD)","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Other Causes (Please Specity)","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Suspected/Illicit Relation","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Death of Dear Person","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Poverty","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Dowry Dispute","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Ideological Causes/Hero Worshipping","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Cancer","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Causes Not known","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Fall in Social Reputation","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Unemployment","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Professional/Career Problem","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Paralysis","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Illegitimate Pregnancy","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Love Affairs","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Family Problems","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Bankruptcy or Sudden change in Economic","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Cancellation/Non-Settlement of Marriage","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Other Prolonged Illness","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Property Dispute","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Insanity/Mental Illness","Female","0-14",0
"Arunachal Pradesh",2012,"Causes","Love Affairs","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Unemployment","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Insanity/Mental Illness","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Property Dispute","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Suspected/Illicit Relation","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Fall in Social Reputation","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Bankruptcy or Sudden change in Economic","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Illegitimate Pregnancy","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Illness (Aids/STD)","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Dowry Dispute","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Ideological Causes/Hero Worshipping","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Not having Children(Barrenness/Impotency","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Family Problems","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Poverty","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Causes Not known","Male","0-14",1
"Arunachal Pradesh",2012,"Causes","Failure in Examination","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Cancellation/Non-Settlement of Marriage","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Other Prolonged Illness","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Death of Dear Person","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Divorce","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Professional/Career Problem","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Paralysis","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Drug Abuse/Addiction","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Cancer","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Other Causes (Please Specity)","Male","0-14",0
"Arunachal Pradesh",2012,"Causes","Family Problems","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Illness (Aids/STD)","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Other Prolonged Illness","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Death of Dear Person","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Dowry Dispute","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Ideological Causes/Hero Worshipping","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Causes Not known","Female","15-29",15
"Arunachal Pradesh",2012,"Causes","Property Dispute","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Cancer","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Cancellation/Non-Settlement of Marriage","Female","15-29",1
"Arunachal Pradesh",2012,"Causes","Professional/Career Problem","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Failure in Examination","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Insanity/Mental Illness","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Love Affairs","Female","15-29",1
"Arunachal Pradesh",2012,"Causes","Divorce","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Drug Abuse/Addiction","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Not having Children(Barrenness/Impotency","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Poverty","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Paralysis","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Bankruptcy or Sudden change in Economic","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Other Causes (Please Specity)","Female","15-29",3
"Arunachal Pradesh",2012,"Causes","Illegitimate Pregnancy","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Fall in Social Reputation","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Suspected/Illicit Relation","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Unemployment","Female","15-29",0
"Arunachal Pradesh",2012,"Causes","Property Dispute","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Other Prolonged Illness","Male","15-29",1
"Arunachal Pradesh",2012,"Causes","Paralysis","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Divorce","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Unemployment","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Professional/Career Problem","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Bankruptcy or Sudden change in Economic","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Illegitimate Pregnancy","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Fall in Social Reputation","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Poverty","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Love Affairs","Male","15-29",2
"Arunachal Pradesh",2012,"Causes","Other Causes (Please Specity)","Male","15-29",3
"Arunachal Pradesh",2012,"Causes","Dowry Dispute","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Ideological Causes/Hero Worshipping","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Causes Not known","Male","15-29",19
"Arunachal Pradesh",2012,"Causes","Death of Dear Person","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Cancer","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Cancellation/Non-Settlement of Marriage","Male","15-29",1
"Arunachal Pradesh",2012,"Causes","Failure in Examination","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Illness (Aids/STD)","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Insanity/Mental Illness","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Family Problems","Male","15-29",2
"Arunachal Pradesh",2012,"Causes","Not having Children(Barrenness/Impotency","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Drug Abuse/Addiction","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Suspected/Illicit Relation","Male","15-29",0
"Arunachal Pradesh",2012,"Causes","Property Dispute","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Illegitimate Pregnancy","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Other Causes (Please Specity)","Female","30-44",4
"Arunachal Pradesh",2012,"Causes","Bankruptcy or Sudden change in Economic","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Cancellation/Non-Settlement of Marriage","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Family Problems","Female","30-44",3
"Arunachal Pradesh",2012,"Causes","Other Prolonged Illness","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Illness (Aids/STD)","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Love Affairs","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Fall in Social Reputation","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Ideological Causes/Hero Worshipping","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Unemployment","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Paralysis","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Cancer","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Failure in Examination","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Professional/Career Problem","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Dowry Dispute","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Suspected/Illicit Relation","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Causes Not known","Female","30-44",2
"Arunachal Pradesh",2012,"Causes","Death of Dear Person","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Divorce","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Poverty","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Drug Abuse/Addiction","Female","30-44",0
"Arunachal Pradesh",2012,"Causes","Not having Children(Barrenness/Impotency","Female","30-44",0
